algorithm,variant,run,nfe,best_fit
GSK,ACME-CF,0,1,52596.66118775257
GSK,ACME-CF,0,3,4722.528708936122
GSK,ACME-CF,0,4,4269.840614947523
GSK,ACME-CF,0,14,4189.074801018628
GSK,ACME-CF,0,55,4071.5363779043355
GSK,ACME-CF,0,69,4013.76137486155
GSK,ACME-CF,0,102,4012.985835530295
GSK,ACME-CF,0,141,3977.055879415737
GSK,ACME-CF,0,159,3693.0843510651353
GSK,ACME-CF,0,257,3672.405482994395
GSK,ACME-CF,0,339,3664.371309120918
GSK,ACME-CF,0,343,3528.3081516304646
GSK,ACME-CF,0,425,3517.5690963406646
GSK,ACME-CF,0,572,3508.1042240453526
GSK,ACME-CF,0,889,3459.479293954935
GSK,ACME-CF,0,1508,3396.8296779359184
GSK,ACME-CF,0,2414,3260.740798541243
GSK,ACME-CF,0,4341,3255.1937712015224
GSK,ACME-CF,0,9421,3251.959077484575
GSK,ACME-CF,10,1,212784.32583561778
GSK,ACME-CF,10,3,6320.023126415389
GSK,ACME-CF,10,23,4339.178728259458
GSK,ACME-CF,10,73,3620.5691402699463
GSK,ACME-CF,10,175,3528.2882340322176
GSK,ACME-CF,10,435,3516.7430097124325
GSK,ACME-CF,10,619,3512.0610921916937
GSK,ACME-CF,10,813,3443.509932198991
GSK,ACME-CF,10,1565,3356.289309456724
GSK,ACME-CF,10,2145,3352.5426010262854
GSK,ACME-CF,10,2207,3290.6867046422863
GSK,ACME-CF,10,2493,3198.613904425701
GSK,ACME-CF,10,2613,3197.3044970006363
GSK,ACME-CF,10,4152,3164.4844888885004
GSK,ACME-CF,10,4481,3153.0130514921834
GSK,ACME-CF,10,4501,3151.0653172880266
GSK,ACME-CF,10,5094,3136.012307448732
GSK,ACME-CF,10,9801,3124.7232291370783
GSK,ACME-CF,11,1,796397.9791490351
GSK,ACME-CF,11,2,408301.9790306582
GSK,ACME-CF,11,5,21571.380702527556
GSK,ACME-CF,11,6,4643.933832011708
GSK,ACME-CF,11,19,3379.9745334940703
GSK,ACME-CF,11,567,3184.6781342934305
GSK,ACME-CF,11,627,3151.0683689975203
GSK,ACME-CF,11,6932,3140.9445468407703
GSK,ACME-CF,11,9189,3140.7283558528725
GSK,ACME-CF,11,9499,3132.962161244572
GSK,ACME-CF,12,1,4226.235648105091
GSK,ACME-CF,12,16,3421.1843195452184
GSK,ACME-CF,12,361,3397.1281803504353
GSK,ACME-CF,12,402,3338.496435506983
GSK,ACME-CF,12,1011,3276.552741300884
GSK,ACME-CF,12,1877,3267.5379475469363
GSK,ACME-CF,12,2762,3237.239310392493
GSK,ACME-CF,12,3459,3234.9594530635686
GSK,ACME-CF,12,3948,3203.7405020214583
GSK,ACME-CF,12,4418,3175.09111320616
GSK,ACME-CF,12,4590,3169.601445052236
GSK,ACME-CF,12,4961,3152.253722515461
GSK,ACME-CF,12,5833,3127.1731323970603
GSK,ACME-CF,12,6111,3125.3194831104443
GSK,ACME-CF,12,6964,3124.3274405217585
GSK,ACME-CF,12,7018,3119.364842132341
GSK,ACME-CF,12,8111,3082.424899439931
GSK,ACME-CF,13,1,453898.68172207853
GSK,ACME-CF,13,2,411213.0435890639
GSK,ACME-CF,13,5,228554.6675943396
GSK,ACME-CF,13,6,210941.65452081797
GSK,ACME-CF,13,8,3781.3566247069166
GSK,ACME-CF,13,16,3681.216671457454
GSK,ACME-CF,13,23,3648.9200746475026
GSK,ACME-CF,13,50,3418.0500472443064
GSK,ACME-CF,13,674,3308.6269570138197
GSK,ACME-CF,13,1177,3236.5916119975177
GSK,ACME-CF,13,1532,3218.5701560403027
GSK,ACME-CF,13,1862,3177.3494040335286
GSK,ACME-CF,13,3279,3164.4229611689357
GSK,ACME-CF,13,3360,3133.4359437915787
GSK,ACME-CF,13,5074,3127.5999483500677
GSK,ACME-CF,13,5082,3125.549401833189
GSK,ACME-CF,13,5158,3111.875277494228
GSK,ACME-CF,13,5182,3103.8217546643054
GSK,ACME-CF,13,8231,3098.5960247314106
GSK,ACME-CF,14,1,699719.6807486356
GSK,ACME-CF,14,2,5331.3400200590895
GSK,ACME-CF,14,8,4415.399856749865
GSK,ACME-CF,14,33,4408.4721066104075
GSK,ACME-CF,14,45,3929.1231540438557
GSK,ACME-CF,14,82,3408.926118192303
GSK,ACME-CF,14,1238,3285.688330957944
GSK,ACME-CF,14,1278,3281.7711342637094
GSK,ACME-CF,14,2175,3233.995382411413
GSK,ACME-CF,14,2176,3202.9150139992885
GSK,ACME-CF,14,2662,3200.7729123759405
GSK,ACME-CF,14,5746,3185.8317137656645
GSK,ACME-CF,14,5806,3126.090685554079
GSK,ACME-CF,15,1,5355.451053026638
GSK,ACME-CF,15,4,4204.266635823644
GSK,ACME-CF,15,38,3614.4471365318313
GSK,ACME-CF,15,46,3524.303659654699
GSK,ACME-CF,15,170,3456.2171471684383
GSK,ACME-CF,15,442,3390.514111772833
GSK,ACME-CF,15,1121,3368.952679079032
GSK,ACME-CF,15,1735,3344.788467746818
GSK,ACME-CF,15,1875,3253.424461513745
GSK,ACME-CF,15,2132,3237.872252637498
GSK,ACME-CF,15,4702,3227.4014013414753
GSK,ACME-CF,15,5398,3199.6608544694514
GSK,ACME-CF,15,7141,3190.868046594968
GSK,ACME-CF,15,7339,3129.945126597125
GSK,ACME-CF,15,7621,3115.5491071252113
GSK,ACME-CF,15,7661,3108.9737688927253
GSK,ACME-CF,15,8834,3082.424899439931
GSK,ACME-CF,16,1,472240.0888377959
GSK,ACME-CF,16,2,377251.62297377555
GSK,ACME-CF,16,9,5021.745462774244
GSK,ACME-CF,16,13,4209.19546746505
GSK,ACME-CF,16,24,3830.180201853988
GSK,ACME-CF,16,65,3403.695506652774
GSK,ACME-CF,16,508,3306.3682176215525
GSK,ACME-CF,16,521,3284.331039329579
GSK,ACME-CF,16,936,3274.7071878364573
GSK,ACME-CF,16,1213,3219.4720259086957
GSK,ACME-CF,16,1333,3195.6036965351154
GSK,ACME-CF,16,3402,3180.12047572719
GSK,ACME-CF,16,3781,3167.882001111539
GSK,ACME-CF,16,4614,3163.3566505221247
GSK,ACME-CF,16,5001,3148.542082486583
GSK,ACME-CF,16,5042,3145.2702428524312
GSK,ACME-CF,16,8390,3140.9277670381575
GSK,ACME-CF,16,8560,3122.261686355186
GSK,ACME-CF,17,1,4182.018088536957
GSK,ACME-CF,17,67,4063.7626073214064
GSK,ACME-CF,17,69,4007.77955568509
GSK,ACME-CF,17,83,3880.453993884247
GSK,ACME-CF,17,138,3795.5782650209885
GSK,ACME-CF,17,153,3772.5380114359677
GSK,ACME-CF,17,227,3681.0616024942883
GSK,ACME-CF,17,280,3501.97560393807
GSK,ACME-CF,17,521,3434.8159659805897
GSK,ACME-CF,17,1056,3257.6088551086286
GSK,ACME-CF,17,1128,3231.5560583274178
GSK,ACME-CF,17,1670,3226.2144959094107
GSK,ACME-CF,17,1903,3224.930553364796
GSK,ACME-CF,17,1943,3221.1167803170993
GSK,ACME-CF,17,3172,3218.792364537252
GSK,ACME-CF,17,3365,3131.1348679904263
GSK,ACME-CF,17,4047,3121.6825095253002
GSK,ACME-CF,17,8557,3082.424899439931
GSK,ACME-CF,18,1,726109.0580509369
GSK,ACME-CF,18,2,115872.41985290952
GSK,ACME-CF,18,8,3840.525126357254
GSK,ACME-CF,18,36,3399.5173817086416
GSK,ACME-CF,18,361,3375.542989002299
GSK,ACME-CF,18,401,3363.316688904424
GSK,ACME-CF,18,422,3307.6884595434108
GSK,ACME-CF,18,1607,3211.329754030324
GSK,ACME-CF,18,5346,3196.701859484691
GSK,ACME-CF,18,6072,3195.778382532247
GSK,ACME-CF,18,6873,3182.8469995320643
GSK,ACME-CF,18,7707,3169.2362293956116
GSK,ACME-CF,19,1,491601.3181344956
GSK,ACME-CF,19,3,371252.38294441946
GSK,ACME-CF,19,5,264145.8790233629
GSK,ACME-CF,19,7,262722.21311041625
GSK,ACME-CF,19,10,4745.803968317419
GSK,ACME-CF,19,60,3795.3453863539876
GSK,ACME-CF,19,176,3767.685779092927
GSK,ACME-CF,19,230,3668.4221964769804
GSK,ACME-CF,19,312,3655.750732029459
GSK,ACME-CF,19,356,3523.900412997978
GSK,ACME-CF,19,455,3509.480558118067
GSK,ACME-CF,19,704,3394.0905589843305
GSK,ACME-CF,19,1861,3379.771642034622
GSK,ACME-CF,19,2204,3355.31459922777
GSK,ACME-CF,19,2351,3277.170800669482
GSK,ACME-CF,19,2621,3263.765487620743
GSK,ACME-CF,19,3041,3252.867637463545
GSK,ACME-CF,19,4180,3238.605622332091
GSK,ACME-CF,19,4241,3216.8276304616975
GSK,ACME-CF,19,4339,3176.3848177854943
GSK,ACME-CF,19,7015,3155.288706382669
GSK,ACME-CF,19,7285,3144.583558615067
GSK,ACME-CF,19,7535,3141.1505111576794
GSK,ACME-CF,19,7801,3125.30059837902
GSK,ACME-CF,19,7958,3082.424899439931
GSK,ACME-CF,1,1,93236.47679949773
GSK,ACME-CF,1,12,30036.889315073306
GSK,ACME-CF,1,17,5036.41675827432
GSK,ACME-CF,1,20,4151.5989318187485
GSK,ACME-CF,1,30,3558.513719498948
GSK,ACME-CF,1,136,3307.1279661312215
GSK,ACME-CF,1,286,3263.7211500705343
GSK,ACME-CF,1,601,3214.834569359379
GSK,ACME-CF,1,1885,3161.3115569514994
GSK,ACME-CF,1,4364,3155.288706382669
GSK,ACME-CF,1,6924,3155.1691058107835
GSK,ACME-CF,1,7930,3155.138117414501
GSK,ACME-CF,1,7944,3147.741892214151
GSK,ACME-CF,1,8641,3137.7802979363446
GSK,ACME-CF,1,8761,3134.7844003944947
GSK,ACME-CF,1,8821,3121.828571029667
GSK,ACME-CF,20,1,544953.264930924
GSK,ACME-CF,20,3,152137.51669075864
GSK,ACME-CF,20,7,3410.3325269753104
GSK,ACME-CF,20,71,3288.5103896553383
GSK,ACME-CF,20,1823,3285.0503386798987
GSK,ACME-CF,20,2021,3276.7420853437493
GSK,ACME-CF,20,2345,3186.343429340629
GSK,ACME-CF,20,2465,3175.8167933448212
GSK,ACME-CF,20,4525,3165.8843794570507
GSK,ACME-CF,20,6577,3155.288706382669
GSK,ACME-CF,20,7333,3151.6981538946143
GSK,ACME-CF,20,7395,3151.2211926272257
GSK,ACME-CF,20,7741,3149.1055125954017
GSK,ACME-CF,20,7828,3137.556464231193
GSK,ACME-CF,20,9259,3132.1888476520207
GSK,ACME-CF,21,1,441771.55342919327
GSK,ACME-CF,21,2,6138.187321749683
GSK,ACME-CF,21,7,3532.711712423608
GSK,ACME-CF,21,73,3269.3860640563007
GSK,ACME-CF,21,781,3150.2895382367656
GSK,ACME-CF,21,7461,3142.5072273516757
GSK,ACME-CF,22,1,575368.2857545522
GSK,ACME-CF,22,3,249189.0069456963
GSK,ACME-CF,22,4,144935.27455982266
GSK,ACME-CF,22,13,4136.75297307287
GSK,ACME-CF,22,32,3846.6097602017717
GSK,ACME-CF,22,109,3494.2272796569096
GSK,ACME-CF,22,649,3326.9724263292383
GSK,ACME-CF,22,1416,3315.148516795648
GSK,ACME-CF,22,2003,3253.429826366704
GSK,ACME-CF,22,2539,3236.531477445528
GSK,ACME-CF,22,3652,3178.301150808005
GSK,ACME-CF,22,4460,3164.1745942255493
GSK,ACME-CF,22,4608,3155.08052724563
GSK,ACME-CF,22,4616,3135.2042227142083
GSK,ACME-CF,22,4841,3121.4931166882716
GSK,ACME-CF,22,4844,3116.353132738674
GSK,ACME-CF,22,4964,3116.3363001452353
GSK,ACME-CF,22,5787,3104.277303431835
GSK,ACME-CF,22,6031,3102.7727856789793
GSK,ACME-CF,22,6749,3082.424899439931
GSK,ACME-CF,23,1,577815.0271928029
GSK,ACME-CF,23,2,466160.00767344673
GSK,ACME-CF,23,3,19031.741501493965
GSK,ACME-CF,23,20,7297.9663985115285
GSK,ACME-CF,23,29,4271.51924117621
GSK,ACME-CF,23,51,3766.3982012208926
GSK,ACME-CF,23,79,3479.1746806927135
GSK,ACME-CF,23,129,3436.5314735542984
GSK,ACME-CF,23,153,3267.926679203028
GSK,ACME-CF,23,461,3263.073356222435
GSK,ACME-CF,23,2441,3243.7686549443174
