problem,algorithm,variant,nfe,mean_best,median_best
RW26,GSK,ACME-CF,1,457113491632.9171,162980727406.0741
RW26,GSK,ACME-CF,2,18903710210.60502,3455384196.0051823
RW26,GSK,ACME-CF,3,5958771984.167555,1079201107.7555814
RW26,GSK,ACME-CF,4,2286757006.8612447,567290856.980114
RW26,GSK,ACME-CF,5,3571058498.6079917,917200739.4354374
RW26,GSK,ACME-CF,6,2672869046.654396,196177237.2565649
RW26,GSK,ACME-CF,7,858234363.7396567,541366565.0095116
RW26,GSK,ACME-CF,8,104374440.77662706,104374440.77662706
RW26,GSK,ACME-CF,9,5540634907.762252,297581505.11377794
RW26,GSK,ACME-CF,10,629958445.1926975,317264617.81672287
RW26,GSK,ACME-CF,11,874490551.5192353,874490551.5192353
RW26,GSK,ACME-CF,12,4528697557.6253395,4528697557.6253395
RW26,GSK,ACME-CF,13,480385038.4779096,353865151.37695444
RW26,GSK,ACME-CF,14,213276809.46041387,213276809.46041387
RW26,GSK,ACME-CF,15,702737395.8717531,702737395.8717531
RW26,GSK,ACME-CF,16,116403302.24882524,116403302.24882524
RW26,GSK,ACME-CF,17,169716979.18509662,161431402.98831105
RW26,GSK,ACME-CF,20,118121112.56297904,118121112.56297904
RW26,GSK,ACME-CF,21,701056177.8304644,701056177.8304644
RW26,GSK,ACME-CF,22,103472968.8406895,103472968.8406895
RW26,GSK,ACME-CF,23,103883144.94229652,103883144.94229652
RW26,GSK,ACME-CF,24,109291402.44216588,109291402.44216588
RW26,GSK,ACME-CF,26,135440777.99949694,135440777.99949694
RW26,GSK,ACME-CF,27,102791113.32770087,102791113.32770087
RW26,GSK,ACME-CF,28,113592237.86928195,113592237.86928195
RW26,GSK,ACME-CF,29,529234464.27578855,529234464.27578855
RW26,GSK,ACME-CF,30,137100872.82305032,137100872.82305032
RW26,GSK,ACME-CF,32,101562398.68136922,101562398.68136922
RW26,GSK,ACME-CF,34,120497237.3574874,120497237.3574874
RW26,GSK,ACME-CF,35,101146517.31679773,101146517.31679773
RW26,GSK,ACME-CF,38,119069810.94459069,119069810.94459069
RW26,GSK,ACME-CF,39,101614138.33140136,101614138.33140136
RW26,GSK,ACME-CF,40,102317016.00264071,102317016.00264071
RW26,GSK,ACME-CF,42,112102778.68801388,112102778.68801388
RW26,GSK,ACME-CF,43,101661041.18504833,101661041.18504833
RW26,GSK,ACME-CF,46,105416096.14919037,105416096.14919037
RW26,GSK,ACME-CF,50,105241500.42450038,105241500.42450038
RW26,GSK,ACME-CF,54,101336947.58201604,101336947.58201604
RW26,GSK,ACME-CF,58,144111561.3033355,144111561.3033355
RW26,GSK,ACME-CF,60,101170129.07650037,101170129.07650037
RW26,GSK,ACME-CF,64,101331579.9097813,101331579.9097813
RW26,GSK,ACME-CF,68,103277188.20829056,103277188.20829056
