algorithm,variant,run,trigger_fe,activated,applied,useful,explanation_fes,total_oracle_fes,intervention_distance,realized_gain,status
GSK,ACME-CF,0,800,True,True,False,360,360,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,1260,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,1480,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,2000,True,True,True,360,360,0.10000000000000006,136.0888793946756,APPLIED_IMMEDIATE
GSK,ACME-CF,0,2660,True,True,False,420,420,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,3180,True,True,False,120,120,0.05000000000000001,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,3400,True,True,False,120,120,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,3620,True,True,False,140,140,0.09444444444444437,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,3860,True,True,False,120,120,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,4080,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,4320,True,True,False,120,120,0.09999999999999999,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,4540,True,True,False,120,120,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,4760,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,5000,True,True,False,120,120,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,5220,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,5460,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,5680,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,5900,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,6120,True,True,False,120,120,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,6340,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,6580,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,6800,True,True,False,120,120,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,7020,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,7260,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,7500,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,7740,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,7980,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,8220,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,8460,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,8700,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,8940,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,9180,True,True,False,140,140,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,9420,True,True,False,140,140,0.05000000000000001,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,9660,True,True,False,120,120,0.10000000000000006,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,0,9880,False,False,False,0,0,0.0,nan,SKIPPED_BY_GLOBAL_FE_AVAILABILITY
GSK,ACME-CF,0,9980,False,False,False,0,0,0.0,nan,SKIPPED_BY_GLOBAL_FE_AVAILABILITY
GSK,ACME-CF,10,400,True,True,True,360,360,0.050000000000000044,68.55115999270265,APPLIED_IMMEDIATE
GSK,ACME-CF,10,1060,True,True,False,360,360,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,1520,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,1760,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,2000,True,True,True,140,140,0.10000000000000009,65.60260481443765,APPLIED_IMMEDIATE
GSK,ACME-CF,10,2440,True,True,False,360,360,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,2900,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,3140,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,3360,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,3580,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,4420,True,True,False,360,360,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,5080,True,True,False,360,360,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,5540,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,5760,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,6000,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,6220,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,6440,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,6660,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,6880,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,7120,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,7340,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,7760,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,8280,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,8520,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,8760,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,8980,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,9200,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,9420,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,10,9640,True,True,True,120,120,0.050000000000000044,11.289078311653611,APPLIED_IMMEDIATE
GSK,ACME-CF,11,300,True,True,False,360,360,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,760,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,980,True,True,False,140,140,0.10000000000000005,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,1620,True,True,False,420,420,0.08277671321420912,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,2140,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,2360,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,2580,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,3000,True,True,False,420,420,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,3720,True,True,False,420,420,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,4240,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,4480,True,True,False,140,140,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,4720,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,4960,True,True,False,140,140,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,5200,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,5440,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,5680,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,5920,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,6160,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,6600,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,7120,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,7360,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,7600,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,7840,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,8060,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,8300,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,8540,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,8780,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,9000,True,True,True,140,140,0.10000000000000009,0.21619098789778946,APPLIED_IMMEDIATE
GSK,ACME-CF,11,9440,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,11,9960,False,False,False,0,0,0.0,nan,SKIPPED_BY_GLOBAL_FE_AVAILABILITY
GSK,ACME-CF,12,300,True,True,False,360,360,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,960,True,True,False,360,360,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,1420,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,1640,True,True,True,140,140,0.10000000000000003,9.014793753947743,APPLIED_IMMEDIATE
GSK,ACME-CF,12,2080,True,True,False,360,360,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,2540,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,2760,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,3000,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,3440,True,True,False,360,360,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,3900,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,4140,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,4880,True,True,False,420,420,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,5400,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,5640,True,True,True,120,120,0.006951134080835549,25.080590118400778,APPLIED_IMMEDIATE
GSK,ACME-CF,12,6060,True,True,False,360,360,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,6520,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,6740,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,7260,True,True,False,360,360,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,7720,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,7960,True,True,True,140,140,0.10000000000000009,36.93994269241011,APPLIED_IMMEDIATE
GSK,ACME-CF,12,8400,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,8920,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,9140,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,9380,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,9620,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,12,9860,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,300,True,True,True,360,360,0.050000000000000044,109.42309023048665,APPLIED_IMMEDIATE
GSK,ACME-CF,13,960,True,True,False,360,360,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,1820,True,True,False,360,360,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,2280,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,2520,True,True,False,120,120,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,2740,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,2960,True,True,False,140,140,0.1000000000000001,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,3600,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,4120,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,4360,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,4600,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,4840,True,True,True,140,140,0.10000000000000009,5.835995441510931,APPLIED_IMMEDIATE
GSK,ACME-CF,13,5480,True,True,False,420,420,0.05208816452614958,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,6000,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,6220,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,6460,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,6700,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,6940,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,7160,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,7400,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,7620,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,7860,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,8100,True,True,False,140,140,0.09999999999999995,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,8340,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,8580,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,8820,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,9060,True,True,False,140,140,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,9300,True,True,False,140,140,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,9540,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,13,9780,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,300,True,True,False,360,360,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,760,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,980,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,1220,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,1640,True,True,False,360,360,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,2100,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,2320,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,2940,True,True,False,360,360,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,3400,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,3640,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,3860,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,4100,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,4320,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,4560,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,4800,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,5040,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,5260,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,5480,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,5700,True,True,False,120,120,0.016671086312795878,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,5920,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,6540,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,7060,True,True,False,120,120,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,7280,True,True,False,140,140,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,7520,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,7760,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,8400,True,True,False,420,420,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,8920,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,9160,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,9400,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,9640,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,14,9880,False,False,False,0,0,0.0,nan,SKIPPED_BY_GLOBAL_FE_AVAILABILITY
GSK,ACME-CF,14,9980,False,False,False,0,0,0.0,nan,SKIPPED_BY_GLOBAL_FE_AVAILABILITY
GSK,ACME-CF,15,400,True,True,False,360,360,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,1060,True,True,False,420,420,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,1580,True,True,True,140,140,0.10000000000000003,24.16421133221411,APPLIED_IMMEDIATE
GSK,ACME-CF,15,2120,True,True,False,360,360,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,2580,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,2820,True,True,False,120,120,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,3040,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,3280,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,3520,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,3760,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,4000,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,4240,True,True,False,140,140,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,4480,True,True,True,140,140,0.10000000000000002,10.470851296022829,APPLIED_IMMEDIATE
GSK,ACME-CF,15,4920,True,True,True,420,420,0.10000000000000003,27.74054687202397,APPLIED_IMMEDIATE
GSK,ACME-CF,15,5640,True,True,False,420,420,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,6160,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,6400,True,True,False,140,140,0.10000000000000003,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,6640,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,6880,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,7120,True,True,True,140,140,0.09999999999999996,60.922919997842655,APPLIED_IMMEDIATE
GSK,ACME-CF,15,7560,True,True,False,420,420,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,8080,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,8320,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,8540,True,True,False,120,120,0.050000000000000044,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,8760,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,8980,True,True,False,120,120,0.04999999999999998,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,9200,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,9420,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,9640,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,15,9860,True,True,False,120,120,0.10000000000000002,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,300,True,True,False,360,360,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,1160,True,True,False,360,360,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,1620,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,1860,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,2100,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,2340,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,2980,True,True,True,420,420,0.10000000000000009,15.48322080792559,APPLIED_IMMEDIATE
GSK,ACME-CF,16,3700,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,4220,True,True,False,140,140,0.09999999999999996,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,4460,True,True,True,140,140,0.10000000000000009,4.525350589414302,APPLIED_IMMEDIATE
GSK,ACME-CF,16,4900,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,5420,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,5660,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,5900,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,6140,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,6580,True,True,False,420,420,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,7100,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
GSK,ACME-CF,16,7340,True,True,False,140,140,0.10000000000000009,0.0,APPLIED_IMMEDIATE
