Dimension,Algorithm,Variant,CEC2022FunctionScore
10,L-SHADE,Standard,343967.0
10,L-SHADE,SHAP-CF,335679.0
10,L-SHADE,IBREAKDOWN-CF,334958.0
10,L-SHADE,ACME-CF,332228.5
10,L-SHADE,LIME-CF,329557.0
10,jSO,SHAP-CF,303418.0
10,jSO,Standard,303060.5
10,jSO,IBREAKDOWN-CF,302156.5
10,jSO,ACME-CF,301103.5
10,jSO,LIME-CF,298518.5
10,GSK,ACME-CF,294209.5
10,GSK,SHAP-CF,291307.0
10,GSK,IBREAKDOWN-CF,290885.5
10,GSK,Standard,286604.0
10,GSK,LIME-CF,280743.0
10,PSO,Standard,232896.0
10,PSO,SHAP-CF,232427.0
10,PSO,IBREAKDOWN-CF,231596.5
10,PSO,ACME-CF,231308.0
10,PSO,LIME-CF,230408.0
10,GWO,ACME-CF,183332.5
10,GWO,IBREAKDOWN-CF,180236.0
10,GWO,Standard,180020.5
10,GWO,SHAP-CF,179744.5
10,GWO,LIME-CF,174201.5
10,SBOA,ACME-CF,145937.0
10,SBOA,LIME-CF,138012.0
10,OPA,Standard,131781.0
10,SBOA,SHAP-CF,130527.0
10,OPA,IBREAKDOWN-CF,130025.0
10,OPA,SHAP-CF,129521.0
10,SBOA,IBREAKDOWN-CF,128695.5
10,OPA,ACME-CF,128591.0
10,OPA,LIME-CF,126260.0
10,SBOA,Standard,120979.0
10,BA,ACME-CF,109217.0
10,BA,SHAP-CF,83365.5
10,BA,Standard,80974.0
10,BA,IBREAKDOWN-CF,79099.0
10,BA,LIME-CF,76450.0
20,L-SHADE,ACME-CF,341567.0
20,jSO,LIME-CF,335709.5
20,jSO,SHAP-CF,335505.0
20,jSO,ACME-CF,334489.5
20,L-SHADE,IBREAKDOWN-CF,333295.0
20,L-SHADE,LIME-CF,332506.0
20,L-SHADE,SHAP-CF,331193.0
20,jSO,IBREAKDOWN-CF,330406.5
20,L-SHADE,Standard,297175.0
20,jSO,Standard,286222.0
20,GSK,ACME-CF,273201.5
20,GSK,IBREAKDOWN-CF,260040.0
20,GSK,LIME-CF,259335.0
20,GSK,SHAP-CF,256641.0
20,PSO,LIME-CF,220373.5
20,PSO,ACME-CF,219635.5
20,PSO,SHAP-CF,219160.5
20,PSO,Standard,218855.0
20,PSO,IBREAKDOWN-CF,218519.0
20,GSK,Standard,205473.0
20,GWO,ACME-CF,199644.0
20,GWO,IBREAKDOWN-CF,196472.0
20,GWO,Standard,195263.0
20,GWO,LIME-CF,194309.0
20,GWO,SHAP-CF,190503.0
20,BA,ACME-CF,152304.0
20,SBOA,ACME-CF,144754.0
20,SBOA,LIME-CF,137717.0
20,SBOA,IBREAKDOWN-CF,128603.0
20,SBOA,SHAP-CF,125345.0
20,OPA,IBREAKDOWN-CF,124784.0
20,OPA,LIME-CF,122220.0
20,OPA,SHAP-CF,120857.5
20,OPA,ACME-CF,118238.5
20,OPA,Standard,118003.5
20,BA,SHAP-CF,112854.5
20,SBOA,Standard,112197.0
20,BA,IBREAKDOWN-CF,109923.0
20,BA,LIME-CF,108101.0
20,BA,Standard,102604.5
