Dimension,Function,Algorithm,Variant,Run,TargetReached,CompetitionFEterm,Final_Err,CEC2022TrialRank
10,1,GSK,LIME-CF,24,True,13404,5.7850115808832925e-09,1195.5
10,1,GSK,SHAP-CF,12,True,13404,8.85563622432528e-09,1195.5
10,1,GSK,SHAP-CF,24,True,13404,5.7850115808832925e-09,1195.5
10,1,GSK,LIME-CF,12,True,13404,8.85563622432528e-09,1195.5
10,1,GSK,Standard,12,True,13404,8.85563622432528e-09,1195.5
10,1,GSK,IBREAKDOWN-CF,12,True,13404,8.85563622432528e-09,1195.5
10,1,GSK,Standard,24,True,13404,5.7850115808832925e-09,1195.5
10,1,GSK,IBREAKDOWN-CF,24,True,13404,5.7850115808832925e-09,1195.5
10,1,GSK,ACME-CF,12,True,13404,8.85563622432528e-09,1195.5
10,1,GSK,ACME-CF,24,True,13404,5.7850115808832925e-09,1195.5
10,1,GSK,Standard,27,True,13532,9.27485643842374e-09,1188.0
10,1,GSK,SHAP-CF,27,True,13532,9.27485643842374e-09,1188.0
10,1,GSK,LIME-CF,27,True,13532,9.27485643842374e-09,1188.0
10,1,GSK,ACME-CF,27,True,13532,9.27485643842374e-09,1188.0
10,1,GSK,IBREAKDOWN-CF,27,True,13532,9.27485643842374e-09,1188.0
10,1,GSK,LIME-CF,2,True,13535,7.620656106155366e-09,1183.0
10,1,GSK,ACME-CF,2,True,13535,7.620656106155366e-09,1183.0
10,1,GSK,SHAP-CF,2,True,13535,7.620656106155366e-09,1183.0
10,1,GSK,Standard,2,True,13535,7.620656106155366e-09,1183.0
10,1,GSK,IBREAKDOWN-CF,2,True,13535,7.620656106155366e-09,1183.0
10,1,GSK,IBREAKDOWN-CF,7,True,13537,8.700624221091857e-09,1178.0
10,1,GSK,Standard,7,True,13537,8.700624221091857e-09,1178.0
10,1,GSK,ACME-CF,7,True,13537,8.700624221091857e-09,1178.0
10,1,GSK,SHAP-CF,7,True,13537,8.700624221091857e-09,1178.0
10,1,GSK,LIME-CF,7,True,13537,8.700624221091857e-09,1178.0
10,1,GSK,IBREAKDOWN-CF,26,True,13603,7.643393473699689e-09,1173.0
10,1,GSK,Standard,26,True,13603,7.643393473699689e-09,1173.0
10,1,GSK,SHAP-CF,26,True,13603,7.643393473699689e-09,1173.0
10,1,GSK,LIME-CF,26,True,13603,7.643393473699689e-09,1173.0
10,1,GSK,ACME-CF,26,True,13603,7.643393473699689e-09,1173.0
10,1,GSK,ACME-CF,19,True,13605,5.5584905567229725e-09,1168.0
10,1,GSK,SHAP-CF,19,True,13605,5.5584905567229725e-09,1168.0
10,1,GSK,IBREAKDOWN-CF,19,True,13605,5.5584905567229725e-09,1168.0
10,1,GSK,Standard,19,True,13605,5.5584905567229725e-09,1168.0
10,1,GSK,LIME-CF,19,True,13605,5.5584905567229725e-09,1168.0
10,1,GSK,LIME-CF,1,True,13636,8.350127700396115e-09,1163.0
10,1,GSK,SHAP-CF,1,True,13636,8.350127700396115e-09,1163.0
10,1,GSK,IBREAKDOWN-CF,1,True,13636,8.350127700396115e-09,1163.0
10,1,GSK,ACME-CF,1,True,13636,8.350127700396115e-09,1163.0
10,1,GSK,Standard,1,True,13636,8.350127700396115e-09,1163.0
10,1,GSK,LIME-CF,17,True,13657,7.882420050009387e-09,1158.0
10,1,GSK,SHAP-CF,17,True,13657,7.882420050009387e-09,1158.0
10,1,GSK,Standard,17,True,13657,7.882420050009387e-09,1158.0
10,1,GSK,IBREAKDOWN-CF,17,True,13657,7.882420050009387e-09,1158.0
10,1,GSK,ACME-CF,17,True,13657,7.882420050009387e-09,1158.0
10,1,GSK,Standard,14,True,13678,7.281244052137481e-09,1153.0
10,1,GSK,LIME-CF,14,True,13678,7.281244052137481e-09,1153.0
10,1,GSK,ACME-CF,14,True,13678,7.281244052137481e-09,1153.0
10,1,GSK,IBREAKDOWN-CF,14,True,13678,7.281244052137481e-09,1153.0
10,1,GSK,SHAP-CF,14,True,13678,7.281244052137481e-09,1153.0
10,1,GSK,IBREAKDOWN-CF,10,True,13702,7.911296506790677e-09,1148.0
10,1,GSK,Standard,10,True,13702,7.911296506790677e-09,1148.0
10,1,GSK,SHAP-CF,10,True,13702,7.911296506790677e-09,1148.0
10,1,GSK,ACME-CF,10,True,13702,7.911296506790677e-09,1148.0
10,1,GSK,LIME-CF,10,True,13702,7.911296506790677e-09,1148.0
10,1,GSK,LIME-CF,5,True,13704,6.038931132934522e-09,1143.0
10,1,GSK,ACME-CF,5,True,13704,6.038931132934522e-09,1143.0
10,1,GSK,SHAP-CF,5,True,13704,6.038931132934522e-09,1143.0
10,1,GSK,IBREAKDOWN-CF,5,True,13704,6.038931132934522e-09,1143.0
10,1,GSK,Standard,5,True,13704,6.038931132934522e-09,1143.0
10,1,GSK,LIME-CF,9,True,13705,8.811468887870433e-09,1138.0
10,1,GSK,ACME-CF,9,True,13705,8.811468887870433e-09,1138.0
10,1,GSK,IBREAKDOWN-CF,9,True,13705,8.811468887870433e-09,1138.0
10,1,GSK,Standard,9,True,13705,8.811468887870433e-09,1138.0
10,1,GSK,SHAP-CF,9,True,13705,8.811468887870433e-09,1138.0
10,1,GSK,IBREAKDOWN-CF,30,True,13708,9.91013848761213e-09,1133.0
10,1,GSK,ACME-CF,30,True,13708,9.91013848761213e-09,1133.0
10,1,GSK,LIME-CF,30,True,13708,9.91013848761213e-09,1133.0
10,1,GSK,Standard,30,True,13708,9.91013848761213e-09,1133.0
10,1,GSK,SHAP-CF,30,True,13708,9.91013848761213e-09,1133.0
10,1,GSK,IBREAKDOWN-CF,3,True,13788,9.516440968582174e-09,1128.0
10,1,GSK,ACME-CF,3,True,13788,9.516440968582174e-09,1128.0
10,1,GSK,LIME-CF,3,True,13788,9.516440968582174e-09,1128.0
10,1,GSK,Standard,3,True,13788,9.516440968582174e-09,1128.0
10,1,GSK,SHAP-CF,3,True,13788,9.516440968582174e-09,1128.0
10,1,GSK,SHAP-CF,25,True,13791,7.013397862465354e-09,1123.0
10,1,GSK,IBREAKDOWN-CF,25,True,13791,7.013397862465354e-09,1123.0
10,1,GSK,ACME-CF,25,True,13791,7.013397862465354e-09,1123.0
10,1,GSK,Standard,25,True,13791,7.013397862465354e-09,1123.0
10,1,GSK,LIME-CF,25,True,13791,7.013397862465354e-09,1123.0
10,1,GSK,SHAP-CF,23,True,13809,9.347445484308992e-09,1118.0
10,1,GSK,IBREAKDOWN-CF,23,True,13809,9.347445484308992e-09,1118.0
10,1,GSK,ACME-CF,23,True,13809,9.347445484308992e-09,1118.0
