Algorithm,Variant,Feature,Events,MeanNormalizedImportance,MedianNormalizedImportance,IQRNormalizedImportance,UsefulAssociatedRate
BA,ACME-CF,alpha,43931,0.0003996555973543716,0.0,0.0,0.05271903667114338
BA,ACME-CF,fmax,43931,2.2629731273360794e-05,0.0,0.0,0.05271903667114338
BA,ACME-CF,fmin,43931,2.276296920170267e-05,0.0,0.0,0.05271903667114338
BA,ACME-CF,gamma,43931,0.0,0.0,0.0,0.05271903667114338
BA,ACME-CF,loudness,43931,0.45860885044722344,0.0,1.0,0.05271903667114338
BA,ACME-CF,pulse_rate,43931,0.0005759753757274321,0.0,0.0,0.05271903667114338
BA,IBREAKDOWN-CF,alpha,52672,0.0,0.0,0.0,0.04387530376670717
BA,IBREAKDOWN-CF,fmax,52672,0.0,0.0,0.0,0.04387530376670717
BA,IBREAKDOWN-CF,fmin,52672,0.0,0.0,0.0,0.04387530376670717
BA,IBREAKDOWN-CF,gamma,52672,0.0,0.0,0.0,0.04387530376670717
BA,IBREAKDOWN-CF,loudness,52672,0.001234052247873633,0.0,0.0,0.04387530376670717
BA,IBREAKDOWN-CF,pulse_rate,52672,0.0,0.0,0.0,0.04387530376670717
BA,LIME-CF,fmin,51536,0.2049986124927792,0.18156913353214735,0.2015075288175439,0.05419512573734865
BA,LIME-CF,loudness,51536,0.18300464787160856,0.1609713803872888,0.18030904009000054,0.05419512573734865
BA,LIME-CF,alpha,51536,0.1587324372290704,0.1372479960037668,0.15811403690889525,0.05419512573734865
BA,LIME-CF,gamma,51536,0.15118161498519495,0.13132701233885563,0.1509922987552808,0.05419512573734865
BA,LIME-CF,pulse_rate,51536,0.15111250745250895,0.13125515474341265,0.1496376264113924,0.05419512573734865
BA,LIME-CF,fmax,51536,0.15097017996883794,0.1309004582686195,0.15149417647192182,0.05419512573734865
BA,SHAP-CF,alpha,52312,0.0006356687900990517,0.0,0.0,0.04289646734974767
BA,SHAP-CF,fmax,52312,0.0,0.0,0.0,0.04289646734974767
BA,SHAP-CF,fmin,52312,0.0,0.0,0.0,0.04289646734974767
BA,SHAP-CF,gamma,52312,0.0,0.0,0.0,0.04289646734974767
BA,SHAP-CF,loudness,52312,0.0013255603541259982,0.0,0.0,0.04289646734974767
BA,SHAP-CF,pulse_rate,52312,0.0001224227903215169,0.0,0.0,0.04289646734974767
GSK,ACME-CF,KF,34284,0.1956209228090929,0.0,0.0,0.19936413487341034
GSK,ACME-CF,KR,34284,0.017802248349465023,0.0,0.0,0.19936413487341034
GSK,IBREAKDOWN-CF,KF,36665,0.06762621605108465,0.0,0.0,0.26395745261148235
GSK,IBREAKDOWN-CF,KR,36665,0.031296462252474615,0.0,0.0,0.26395745261148235
GSK,LIME-CF,KR,33895,0.5136285317278332,0.5213732418507012,0.4595797124245675,0.25083345626198555
GSK,LIME-CF,KF,33895,0.4863714682721668,0.4786267581492986,0.4595797124245675,0.25083345626198555
GSK,SHAP-CF,KF,36370,0.0549457249234118,0.0,0.0,0.2688754467968106
GSK,SHAP-CF,KR,36370,0.042249765865700104,0.0,0.0,0.2688754467968106
GWO,ACME-CF,a_scale,36700,0.10001241703738112,0.0,0.0,0.13337874659400545
GWO,ACME-CF,leader_alpha,36700,0.00029376159295452697,0.0,0.0,0.13337874659400545
GWO,ACME-CF,leader_beta,36700,0.00016496116845408289,0.0,0.0,0.13337874659400545
GWO,ACME-CF,leader_delta,36700,0.0002918029805018302,0.0,0.0,0.13337874659400545
GWO,IBREAKDOWN-CF,a_scale,39810,0.0001860330745703008,0.0,0.0,0.20577744285355437
GWO,IBREAKDOWN-CF,leader_alpha,39810,6.817016748794911e-05,0.0,0.0,0.20577744285355437
GWO,IBREAKDOWN-CF,leader_beta,39810,7.739601575404718e-05,0.0,0.0,0.20577744285355437
GWO,IBREAKDOWN-CF,leader_delta,39810,2.0071176751882754e-05,0.0,0.0,0.20577744285355437
GWO,LIME-CF,leader_delta,38135,0.25101094896531895,0.22630891180991186,0.24057767408272848,0.19171364887898257
GWO,LIME-CF,a_scale,38135,0.25038644620448974,0.22574666805005,0.24004830164817081,0.19171364887898257
GWO,LIME-CF,leader_beta,38135,0.2495743592502344,0.22442731291754317,0.23728677557374145,0.19171364887898257
GWO,LIME-CF,leader_alpha,38135,0.24902824557995687,0.22322467334508792,0.23910305579279884,0.19171364887898257
GWO,SHAP-CF,a_scale,39674,0.00036698359909382856,0.0,0.0,0.20423955235166608
GWO,SHAP-CF,leader_alpha,39674,0.0001057312640692041,0.0,0.0,0.20423955235166608
GWO,SHAP-CF,leader_beta,39674,0.00013862372187161963,0.0,0.0,0.20423955235166608
GWO,SHAP-CF,leader_delta,39674,0.00017002956539131936,0.0,0.0,0.20423955235166608
L-SHADE,ACME-CF,CR,24164,0.09312078229450134,0.0,0.0,0.17488826353252773
L-SHADE,ACME-CF,F,24164,0.0241134165543653,0.0,0.0,0.17488826353252773
L-SHADE,ACME-CF,archive_rate,24164,0.021679317075677707,0.0,0.0,0.17488826353252773
L-SHADE,ACME-CF,pbest_rate,24164,0.0044402334546974976,0.0,0.0,0.17488826353252773
L-SHADE,IBREAKDOWN-CF,CR,25624,0.003466823650634074,0.0,0.0,0.2570636902903528
L-SHADE,IBREAKDOWN-CF,F,25624,0.008830545799225101,0.0,0.0,0.2570636902903528
L-SHADE,IBREAKDOWN-CF,archive_rate,25624,0.003069814800247881,0.0,0.0,0.2570636902903528
L-SHADE,IBREAKDOWN-CF,pbest_rate,25624,0.005862912534157696,0.0,0.0,0.2570636902903528
