Dimension,MH_Group,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,FinalErr_STD,FinalErr_IQR,Log10FinalErr_Mean,Log10FinalErr_Median,Log10FinalErr_STD,ExecTime_s_Mean,ExecTime_s_Median,OptimizerFEs_Median,ExplanationFEs_Median,ExplanationShare_Median,OracleAttempts,OracleActivations,AppliedInterventions,Rescues
10,ADAPTIVE_DE,L-SHADE,ACME-CF,360,34.703190480752454,0.49821508418517624,71.92142204150942,9.530666424384648,-2.864850196745354,-0.3025857412327959,4.522466689718729,13.15166687371968,6.101936875496904,154723.5,22301.5,0.1115075,10038,10025,10011,1705
10,ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,360,34.499619465773804,0.4982911109054839,71.99494319800478,10.2916922847743,-2.862868638831486,-0.302517534669258,4.503839079591816,13.202958306938873,6.194006562502182,167004.5,14497.5,0.07248750000000001,10660,10655,10646,2517
10,ADAPTIVE_DE,L-SHADE,LIME-CF,360,34.88734213871139,0.4983987258792695,71.86515778487458,11.700290642357716,-2.8299324991785904,-0.30242351437146725,4.530370341993452,13.179616358538745,5.92682829199839,157346.0,20550.0,0.10275000000000001,10064,10060,10044,2084
10,ADAPTIVE_DE,L-SHADE,SHAP-CF,360,34.795473894892545,0.4741504156946803,71.9059223701384,10.631758562421851,-2.85804602271114,-0.32408665543890414,4.525299351416332,13.12236663565313,5.938879563000228,166762.5,14594.5,0.0729725,10590,10583,10577,2605
10,ADAPTIVE_DE,L-SHADE,Standard,360,34.57295197669321,0.2496983246721811,71.98953588612038,13.786542862225929,-3.091228540666931,-0.6026122235815923,4.449324262357204,13.09119856120831,5.943234708498494,200000.0,0.0,0.0,0,0,0,0
10,ADAPTIVE_DE,jSO,ACME-CF,360,39.568866126717076,1.1889190045568512,79.18082095430721,18.752495635924504,-2.629961284167133,0.07512307985424044,4.566129026321487,13.648786840514084,6.49265710400141,155645.5,23310.0,0.11654999999999999,10707,10691,10637,2000
10,ADAPTIVE_DE,jSO,IBREAKDOWN-CF,360,39.55738893270142,0.6967725722965952,79.21509297295451,16.40739532723302,-2.6359485293904825,-0.15690902120395106,4.560169610874579,13.679950942161424,6.4935996045023785,166970.0,16705.5,0.0835275,11309,11304,11288,2892
10,ADAPTIVE_DE,jSO,LIME-CF,360,39.571138119257725,0.70757901870968,79.21494234913632,18.41921713505414,-2.645220267184531,-0.1502844697670403,4.567865409247817,13.74200057241372,6.506574562998139,158252.0,21090.0,0.10545,10692,10680,10664,2543
10,ADAPTIVE_DE,jSO,SHAP-CF,360,39.338664820072,0.6668232675639274,79.2696235503022,17.56689942779181,-2.6446098028793648,-0.1766626025233985,4.562967145632601,13.674123825591474,6.520716083497973,166753.5,15699.0,0.07849500000000001,11310,11299,11288,3001
10,ADAPTIVE_DE,jSO,Standard,360,39.84108968587678,1.8401551956311553,79.11886805786382,22.1393272547879,-2.615714789066162,0.26485054100533123,4.564691654117543,13.602762797691524,6.354451749997679,200000.0,0.0,0.0,0,0,0,0
