Dimension,Function,Algorithm,Variant,N_Pairs,Mean_Log10_Gain,Median_Log10_Gain,STD_Log10_Gain,Shapiro_p,Paired_t_p,Wilcoxon_p,Cohen_dz,Rank_Biserial,Preferred_Test,Preferred_p,Preferred_p_Holm,Wilcoxon_p_Holm,Paired_t_p_Holm,Significant_Preferred
10,1,BA,ACME-CF,1,0.4827653320694858,0.4827653320694858,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,BA,IBREAKDOWN-CF,1,0.4227360185287138,0.4227360185287138,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,BA,LIME-CF,1,0.007392180674118731,0.007392180674118731,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,BA,SHAP-CF,1,0.12376951205591957,0.12376951205591957,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,GSK,ACME-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,GSK,IBREAKDOWN-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,GSK,LIME-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,GSK,SHAP-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,GWO,ACME-CF,1,0.350797996285132,0.350797996285132,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,GWO,IBREAKDOWN-CF,1,0.06807726446236706,0.06807726446236706,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,GWO,LIME-CF,1,0.6261540699996173,0.6261540699996173,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,GWO,SHAP-CF,1,-0.3269717940665735,-0.3269717940665735,0.0,,,1.0,,-1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,L-SHADE,ACME-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,L-SHADE,IBREAKDOWN-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,L-SHADE,LIME-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,L-SHADE,SHAP-CF,1,0.0,0.0,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,OPA,ACME-CF,1,-1.3700152123874432e-12,-1.3700152123874432e-12,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,OPA,IBREAKDOWN-CF,1,-3.1885605267234496e-13,-3.1885605267234496e-13,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,OPA,LIME-CF,1,1.2139806411103136,1.2139806411103136,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,OPA,SHAP-CF,1,-1.7286172493413687e-12,-1.7286172493413687e-12,0.0,,1.0,1.0,,0.0,wilcoxon,1.0,1.0,1.0,1.0,False
10,1,PSO,ACME-CF,1,0.00718893683663957,0.00718893683663957,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,PSO,IBREAKDOWN-CF,1,0.008684125883606342,0.008684125883606342,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,PSO,LIME-CF,1,0.016277354273256606,0.016277354273256606,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,PSO,SHAP-CF,1,-0.01239085977450749,-0.01239085977450749,0.0,,,1.0,,-1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,SBOA,ACME-CF,1,0.9595149429228266,0.9595149429228266,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,SBOA,IBREAKDOWN-CF,1,1.307294430485939e-07,1.307294430485939e-07,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,SBOA,LIME-CF,1,0.5715722125235703,0.5715722125235703,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,SBOA,SHAP-CF,1,1.0521710793193615,1.0521710793193615,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,jSO,ACME-CF,1,0.0820605436588373,0.0820605436588373,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,jSO,IBREAKDOWN-CF,1,0.13720230515431453,0.13720230515431453,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,jSO,LIME-CF,1,-0.06376827195994039,-0.06376827195994039,0.0,,,1.0,,-1.0,wilcoxon,1.0,1.0,1.0,,False
10,1,jSO,SHAP-CF,1,0.03680695431272163,0.03680695431272163,0.0,,,1.0,,1.0,wilcoxon,1.0,1.0,1.0,,False
