Dimension,MH_Group,Algorithm,Variant,Triggers,Activated,Applied,Useful,ExplanationFEs,MedianGainExplanation,MedianGainIntervention,MedianInterventionDistance
10,ADAPTIVE_DE,L-SHADE,ACME-CF,10038,10025,10011,1705,7385894,0.0,0.0,0.1
10,ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,10660,10655,10646,2517,5123952,0.0,0.0,0.1
10,ADAPTIVE_DE,L-SHADE,LIME-CF,10064,10060,10044,2084,6951748,0.0,0.0,0.1
10,ADAPTIVE_DE,L-SHADE,SHAP-CF,10590,10583,10577,2605,5172870,0.0,0.0,0.1
10,ADAPTIVE_DE,jSO,ACME-CF,10707,10691,10637,2000,7886169,0.0,0.0,0.1
10,ADAPTIVE_DE,jSO,IBREAKDOWN-CF,11309,11304,11288,2892,5665932,0.0,0.0,0.1
10,ADAPTIVE_DE,jSO,LIME-CF,10692,10680,10664,2543,7381720,0.0,0.0,0.1
10,ADAPTIVE_DE,jSO,SHAP-CF,11310,11299,11288,3001,5690276,0.0,0.0,0.1
10,CLASSICAL_SWARM,BA,ACME-CF,19996,19823,19823,625,21046980,0.0,0.0,0.0999999999999999
10,CLASSICAL_SWARM,BA,IBREAKDOWN-CF,24131,24045,24045,960,15298740,0.0,0.0,0.0999999999999999
10,CLASSICAL_SWARM,BA,LIME-CF,23342,23264,23264,1121,16750080,0.0,0.0,0.0999999999999999
10,CLASSICAL_SWARM,BA,SHAP-CF,23775,23650,23650,983,15695760,0.0,0.0,0.0999999999999999
10,CLASSICAL_SWARM,GWO,ACME-CF,18302,18289,18289,1801,13788660,0.0,0.0,0.1
10,CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,20489,20476,20476,3551,9678960,0.0,0.0,0.1
10,CLASSICAL_SWARM,GWO,LIME-CF,18942,18927,18927,3033,13627440,0.0,0.0,0.1
10,CLASSICAL_SWARM,GWO,SHAP-CF,20380,20361,20361,3418,9721320,0.0,0.0,0.1
10,CLASSICAL_SWARM,PSO,ACME-CF,12962,12899,12899,2319,10040580,0.0,0.0,0.1000000000000001
10,CLASSICAL_SWARM,PSO,IBREAKDOWN-CF,14199,14151,14151,2648,7641540,0.0,0.0,0.1000000000000001
10,CLASSICAL_SWARM,PSO,LIME-CF,13382,13321,13321,2261,9591120,0.0,0.0,0.1
10,CLASSICAL_SWARM,PSO,SHAP-CF,14217,14114,14114,2593,7744680,0.0,0.0,0.1000000000000001
10,KNOWLEDGE_BASED,GSK,ACME-CF,14274,14236,14226,3258,5713081,0.0,0.0,0.1
10,KNOWLEDGE_BASED,GSK,IBREAKDOWN-CF,15985,15966,15963,5011,3815201,0.0,0.0,0.1
10,KNOWLEDGE_BASED,GSK,LIME-CF,13743,13692,13690,3989,9839485,0.0,0.0,0.0999999999999999
10,KNOWLEDGE_BASED,GSK,SHAP-CF,15889,15799,15795,5308,3724712,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,OPA,ACME-CF,22364,22260,22260,1061,17251620,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,24481,24421,24421,1174,12657300,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,OPA,LIME-CF,23003,22922,22922,1048,16503840,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,OPA,SHAP-CF,24690,24530,24530,1226,12902940,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,SBOA,ACME-CF,21040,20948,20948,1077,16287240,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,23578,23516,23516,2263,12698400,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,SBOA,LIME-CF,21857,21770,21770,1698,15674400,0.0,0.0,0.1
10,RECENT_BIOINSPIRED,SBOA,SHAP-CF,23301,23170,23170,2470,12719340,0.0,0.0,0.1
20,ADAPTIVE_DE,L-SHADE,ACME-CF,14158,14156,14153,2521,10662013,0.0,0.0,0.1
20,ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,14979,14978,14978,4070,7463455,0.0,0.0,0.1
20,ADAPTIVE_DE,L-SHADE,LIME-CF,14570,14569,14569,3586,10280736,0.0,0.0,0.1
20,ADAPTIVE_DE,L-SHADE,SHAP-CF,15045,15043,15042,3970,7585439,0.0,0.0,0.1
20,ADAPTIVE_DE,jSO,ACME-CF,15351,15348,15318,2371,11610395,0.0,0.0,0.1
20,ADAPTIVE_DE,jSO,IBREAKDOWN-CF,15568,15566,15552,3435,7976082,0.0,0.0,0.1
20,ADAPTIVE_DE,jSO,LIME-CF,15308,15307,15294,3342,10795574,0.0,0.0,0.1
20,ADAPTIVE_DE,jSO,SHAP-CF,15564,15561,15555,3544,8047092,0.0,0.0,0.1
20,CLASSICAL_SWARM,BA,ACME-CF,24139,24108,24108,1691,25826820,0.0,0.0,0.0999999999999999
20,CLASSICAL_SWARM,BA,IBREAKDOWN-CF,28647,28627,28627,1351,18134940,0.0,0.0,0.0999999999999999
20,CLASSICAL_SWARM,BA,LIME-CF,28290,28272,28272,1672,20355840,0.0,0.0,0.0999999999999999
20,CLASSICAL_SWARM,BA,SHAP-CF,28686,28662,28662,1261,18912480,0.0,0.0,0.0999999999999999
20,CLASSICAL_SWARM,GWO,ACME-CF,18413,18411,18411,3094,13735860,0.0,0.0,0.1
20,CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,19335,19334,19334,4641,8727780,0.0,0.0,0.1
20,CLASSICAL_SWARM,GWO,LIME-CF,19210,19208,19208,4278,13829760,0.0,0.0,0.1
20,CLASSICAL_SWARM,GWO,SHAP-CF,19316,19313,19313,4685,8887680,0.0,0.0,0.1
20,CLASSICAL_SWARM,PSO,ACME-CF,21181,21154,21154,3026,16467720,0.0,0.0,0.1000000000000001
