host,variant,function,dim,a12,cliff_delta,magnitude
PSO,SHAP-CF,1,10,0.497222222222,-0.005555555556,negligible
PSO,SHAP-CF,2,10,0.518888888889,0.037777777778,negligible
PSO,SHAP-CF,3,10,0.508333333333,0.016666666667,negligible
PSO,SHAP-CF,4,10,0.528333333333,0.056666666667,negligible
PSO,SHAP-CF,5,10,0.506111111111,0.012222222222,negligible
PSO,SHAP-CF,6,10,0.495555555556,-0.008888888889,negligible
PSO,SHAP-CF,7,10,0.442222222222,-0.115555555556,negligible
PSO,SHAP-CF,8,10,0.510000000000,0.020000000000,negligible
PSO,SHAP-CF,9,10,0.520555555556,0.041111111111,negligible
PSO,SHAP-CF,10,10,0.501666666667,0.003333333333,negligible
PSO,SHAP-CF,11,10,0.538888888889,0.077777777778,negligible
PSO,SHAP-CF,12,10,0.616111111111,0.232222222222,small
PSO,SHAP-CF,1,20,0.500000000000,0.000000000000,negligible
PSO,SHAP-CF,2,20,0.538333333333,0.076666666667,negligible
PSO,SHAP-CF,3,20,0.511111111111,0.022222222222,negligible
PSO,SHAP-CF,4,20,0.501666666667,0.003333333333,negligible
PSO,SHAP-CF,5,20,0.490555555556,-0.018888888889,negligible
PSO,SHAP-CF,6,20,0.501111111111,0.002222222222,negligible
PSO,SHAP-CF,7,20,0.488888888889,-0.022222222222,negligible
PSO,SHAP-CF,8,20,0.486666666667,-0.026666666667,negligible
PSO,SHAP-CF,9,20,0.520000000000,0.040000000000,negligible
PSO,SHAP-CF,10,20,0.497222222222,-0.005555555556,negligible
PSO,SHAP-CF,11,20,0.516111111111,0.032222222222,negligible
PSO,SHAP-CF,12,20,0.528333333333,0.056666666667,negligible
PSO,LIME-CF,1,10,0.503888888889,0.007777777778,negligible
PSO,LIME-CF,2,10,0.527222222222,0.054444444444,negligible
PSO,LIME-CF,3,10,0.516111111111,0.032222222222,negligible
PSO,LIME-CF,4,10,0.486111111111,-0.027777777778,negligible
PSO,LIME-CF,5,10,0.505000000000,0.010000000000,negligible
PSO,LIME-CF,6,10,0.494444444444,-0.011111111111,negligible
PSO,LIME-CF,7,10,0.478888888889,-0.042222222222,negligible
PSO,LIME-CF,8,10,0.454444444444,-0.091111111111,negligible
PSO,LIME-CF,9,10,0.518888888889,0.037777777778,negligible
PSO,LIME-CF,10,10,0.485555555556,-0.028888888889,negligible
PSO,LIME-CF,11,10,0.491111111111,-0.017777777778,negligible
PSO,LIME-CF,12,10,0.627777777778,0.255555555556,small
PSO,LIME-CF,1,20,0.500000000000,0.000000000000,negligible
PSO,LIME-CF,2,20,0.475000000000,-0.050000000000,negligible
PSO,LIME-CF,3,20,0.539444444444,0.078888888889,negligible
PSO,LIME-CF,4,20,0.524444444444,0.048888888889,negligible
PSO,LIME-CF,5,20,0.495000000000,-0.010000000000,negligible
PSO,LIME-CF,6,20,0.506666666667,0.013333333333,negligible
PSO,LIME-CF,7,20,0.502222222222,0.004444444444,negligible
PSO,LIME-CF,8,20,0.492222222222,-0.015555555556,negligible
PSO,LIME-CF,9,20,0.513888888889,0.027777777778,negligible
PSO,LIME-CF,10,20,0.507777777778,0.015555555556,negligible
PSO,LIME-CF,11,20,0.529444444444,0.058888888889,negligible
PSO,LIME-CF,12,20,0.533333333333,0.066666666667,negligible
PSO,ACME-CF,1,10,0.508333333333,0.016666666667,negligible
PSO,ACME-CF,2,10,0.523888888889,0.047777777778,negligible
PSO,ACME-CF,3,10,0.521666666667,0.043333333333,negligible
PSO,ACME-CF,4,10,0.498888888889,-0.002222222222,negligible
PSO,ACME-CF,5,10,0.531666666667,0.063333333333,negligible
PSO,ACME-CF,6,10,0.494444444444,-0.011111111111,negligible
PSO,ACME-CF,7,10,0.481666666667,-0.036666666667,negligible
PSO,ACME-CF,8,10,0.467777777778,-0.064444444444,negligible
PSO,ACME-CF,9,10,0.533333333333,0.066666666667,negligible
PSO,ACME-CF,10,10,0.480000000000,-0.040000000000,negligible
PSO,ACME-CF,11,10,0.492222222222,-0.015555555556,negligible
PSO,ACME-CF,12,10,0.651666666667,0.303333333333,small
PSO,ACME-CF,1,20,0.500000000000,0.000000000000,negligible
PSO,ACME-CF,2,20,0.505000000000,0.010000000000,negligible
PSO,ACME-CF,3,20,0.581111111111,0.162222222222,small
PSO,ACME-CF,4,20,0.497222222222,-0.005555555556,negligible
PSO,ACME-CF,5,20,0.492777777778,-0.014444444444,negligible
PSO,ACME-CF,6,20,0.508888888889,0.017777777778,negligible
PSO,ACME-CF,7,20,0.486666666667,-0.026666666667,negligible
PSO,ACME-CF,8,20,0.475555555556,-0.048888888889,negligible
PSO,ACME-CF,9,20,0.522777777778,0.045555555556,negligible
PSO,ACME-CF,10,20,0.502777777778,0.005555555556,negligible
PSO,ACME-CF,11,20,0.537777777778,0.075555555556,negligible
PSO,ACME-CF,12,20,0.527222222222,0.054444444444,negligible
PSO,IBREAKDOWN-CF,1,10,0.496111111111,-0.007777777778,negligible
PSO,IBREAKDOWN-CF,2,10,0.521666666667,0.043333333333,negligible
PSO,IBREAKDOWN-CF,3,10,0.550555555556,0.101111111111,negligible
PSO,IBREAKDOWN-CF,4,10,0.467222222222,-0.065555555556,negligible
PSO,IBREAKDOWN-CF,5,10,0.515555555556,0.031111111111,negligible
PSO,IBREAKDOWN-CF,6,10,0.493333333333,-0.013333333333,negligible
PSO,IBREAKDOWN-CF,7,10,0.512222222222,0.024444444444,negligible
PSO,IBREAKDOWN-CF,8,10,0.487777777778,-0.024444444444,negligible
PSO,IBREAKDOWN-CF,9,10,0.501666666667,0.003333333333,negligible
PSO,IBREAKDOWN-CF,10,10,0.503333333333,0.006666666667,negligible
PSO,IBREAKDOWN-CF,11,10,0.531111111111,0.062222222222,negligible
PSO,IBREAKDOWN-CF,12,10,0.601111111111,0.202222222222,small
PSO,IBREAKDOWN-CF,1,20,0.500000000000,0.000000000000,negligible
PSO,IBREAKDOWN-CF,2,20,0.471666666667,-0.056666666667,negligible
PSO,IBREAKDOWN-CF,3,20,0.528333333333,0.056666666667,negligible
PSO,IBREAKDOWN-CF,4,20,0.501666666667,0.003333333333,negligible
PSO,IBREAKDOWN-CF,5,20,0.493888888889,-0.012222222222,negligible
PSO,IBREAKDOWN-CF,6,20,0.511111111111,0.022222222222,negligible
PSO,IBREAKDOWN-CF,7,20,0.486666666667,-0.026666666667,negligible
PSO,IBREAKDOWN-CF,8,20,0.462222222222,-0.075555555556,negligible
PSO,IBREAKDOWN-CF,9,20,0.506666666667,0.013333333333,negligible
PSO,IBREAKDOWN-CF,10,20,0.498888888889,-0.002222222222,negligible
PSO,IBREAKDOWN-CF,11,20,0.516111111111,0.032222222222,negligible
PSO,IBREAKDOWN-CF,12,20,0.512222222222,0.024444444444,negligible
BA,SHAP-CF,1,10,0.774444444444,0.548888888889,large
BA,SHAP-CF,2,10,0.507777777778,0.015555555556,negligible
BA,SHAP-CF,3,10,0.756666666667,0.513333333333,large
BA,SHAP-CF,4,10,0.448333333333,-0.103333333333,negligible
BA,SHAP-CF,5,10,0.506666666667,0.013333333333,negligible
BA,SHAP-CF,6,10,0.505000000000,0.010000000000,negligible
BA,SHAP-CF,7,10,0.403333333333,-0.193333333333,small
BA,SHAP-CF,8,10,0.300555555556,-0.398888888889,medium
BA,SHAP-CF,9,10,0.548888888889,0.097777777778,negligible
BA,SHAP-CF,10,10,0.528888888889,0.057777777778,negligible
BA,SHAP-CF,11,10,0.694444444444,0.388888888889,medium
BA,SHAP-CF,12,10,0.485555555556,-0.028888888889,negligible
BA,SHAP-CF,1,20,0.823333333333,0.646666666667,large
BA,SHAP-CF,2,20,0.649444444444,0.298888888889,small
BA,SHAP-CF,3,20,0.887777777778,0.775555555556,large
BA,SHAP-CF,4,20,0.503333333333,0.006666666667,negligible
BA,SHAP-CF,5,20,0.505555555556,0.011111111111,negligible
BA,SHAP-CF,6,20,0.670000000000,0.340000000000,medium
BA,SHAP-CF,7,20,0.479444444444,-0.041111111111,negligible
BA,SHAP-CF,8,20,0.456666666667,-0.086666666667,negligible
BA,SHAP-CF,9,20,0.426666666667,-0.146666666667,negligible
BA,SHAP-CF,10,20,0.533333333333,0.066666666667,negligible
BA,SHAP-CF,11,20,0.940000000000,0.880000000000,large
BA,SHAP-CF,12,20,0.482222222222,-0.035555555556,negligible
BA,LIME-CF,1,10,0.617777777778,0.235555555556,small
BA,LIME-CF,2,10,0.504444444444,0.008888888889,negligible
BA,LIME-CF,3,10,0.473888888889,-0.052222222222,negligible
BA,LIME-CF,4,10,0.451666666667,-0.096666666667,negligible
BA,LIME-CF,5,10,0.503333333333,0.006666666667,negligible
BA,LIME-CF,6,10,0.483888888889,-0.032222222222,negligible
BA,LIME-CF,7,10,0.435000000000,-0.130000000000,negligible
BA,LIME-CF,8,10,0.291666666667,-0.416666666667,medium
BA,LIME-CF,9,10,0.545555555556,0.091111111111,negligible
BA,LIME-CF,10,10,0.498888888889,-0.002222222222,negligible
BA,LIME-CF,11,10,0.565555555556,0.131111111111,negligible
BA,LIME-CF,12,10,0.447222222222,-0.105555555556,negligible
BA,LIME-CF,1,20,0.731111111111,0.462222222222,medium
BA,LIME-CF,2,20,0.608888888889,0.217777777778,small
BA,LIME-CF,3,20,0.727777777778,0.455555555556,medium
BA,LIME-CF,4,20,0.528888888889,0.057777777778,negligible
BA,LIME-CF,5,20,0.504444444444,0.008888888889,negligible
BA,LIME-CF,6,20,0.587777777778,0.175555555556,small
BA,LIME-CF,7,20,0.455555555556,-0.088888888889,negligible
BA,LIME-CF,8,20,0.392222222222,-0.215555555556,small
