host,variant,dim,median_cliff_delta,n_large,n_medium
PSO,SHAP-CF,10,0.018333333333,0,0
PSO,SHAP-CF,20,0.002777777778,0,0
PSO,LIME-CF,10,-0.001666666667,0,0
PSO,LIME-CF,20,0.014444444444,0,0
PSO,ACME-CF,10,0.007222222222,0,0
PSO,ACME-CF,20,0.007777777778,0,0
PSO,IBREAKDOWN-CF,10,0.015555555556,0,0
PSO,IBREAKDOWN-CF,20,0.001666666667,0,0
BA,SHAP-CF,10,0.014444444444,2,2
BA,SHAP-CF,20,0.038888888889,3,1
BA,LIME-CF,10,-0.017222222222,0,1
BA,LIME-CF,20,0.063333333333,1,2
BA,ACME-CF,10,0.157777777778,4,0
BA,ACME-CF,20,0.395555555556,5,2
BA,IBREAKDOWN-CF,10,-0.015000000000,0,3
BA,IBREAKDOWN-CF,20,0.056666666667,3,0
GWO,SHAP-CF,10,-0.005000000000,0,0
GWO,SHAP-CF,20,-0.011111111111,0,0
GWO,LIME-CF,10,-0.058888888889,0,1
GWO,LIME-CF,20,-0.036666666667,0,0
GWO,ACME-CF,10,0.003333333333,0,0
GWO,ACME-CF,20,-0.016666666667,0,0
GWO,IBREAKDOWN-CF,10,0.013333333333,0,0
GWO,IBREAKDOWN-CF,20,-0.030000000000,0,0
L-SHADE,SHAP-CF,10,0.001666666667,3,0
L-SHADE,SHAP-CF,20,0.000000000000,6,0
L-SHADE,LIME-CF,10,0.011111111111,3,1
L-SHADE,LIME-CF,20,0.046111111111,6,0
L-SHADE,ACME-CF,10,-0.011111111111,2,1
L-SHADE,ACME-CF,20,0.004444444444,6,0
L-SHADE,IBREAKDOWN-CF,10,-0.035555555556,2,1
L-SHADE,IBREAKDOWN-CF,20,0.027222222222,6,0
jSO,SHAP-CF,10,0.154444444444,0,2
jSO,SHAP-CF,20,0.124444444444,4,0
jSO,LIME-CF,10,0.014444444444,0,2
jSO,LIME-CF,20,0.220555555556,4,1
jSO,ACME-CF,10,0.017222222222,1,1
jSO,ACME-CF,20,0.172777777778,4,1
jSO,IBREAKDOWN-CF,10,-0.025555555556,0,0
jSO,IBREAKDOWN-CF,20,0.068888888889,4,1
GSK,SHAP-CF,10,0.118888888889,0,2
GSK,SHAP-CF,20,0.390555555556,6,2
GSK,LIME-CF,10,0.094444444444,1,2
GSK,LIME-CF,20,0.503888888889,7,1
GSK,ACME-CF,10,0.173333333333,2,3
GSK,ACME-CF,20,0.557222222222,9,0
GSK,IBREAKDOWN-CF,10,0.146666666667,1,2
GSK,IBREAKDOWN-CF,20,0.389444444444,5,3
OPA,SHAP-CF,10,-0.021111111111,0,0
OPA,SHAP-CF,20,0.000555555556,0,0
OPA,LIME-CF,10,-0.050555555556,0,0
OPA,LIME-CF,20,0.028333333333,0,0
OPA,ACME-CF,10,-0.003333333333,0,0
OPA,ACME-CF,20,0.021666666667,0,0
OPA,IBREAKDOWN-CF,10,0.008333333333,0,0
OPA,IBREAKDOWN-CF,20,0.036111111111,0,0
SBOA,SHAP-CF,10,0.116666666667,0,1
SBOA,SHAP-CF,20,0.088333333333,2,2
SBOA,LIME-CF,10,0.117777777778,3,0
SBOA,LIME-CF,20,0.177777777778,4,0
SBOA,ACME-CF,10,0.133333333333,3,1
SBOA,ACME-CF,20,0.261111111111,4,1
SBOA,IBREAKDOWN-CF,10,0.058888888889,0,1
SBOA,IBREAKDOWN-CF,20,0.108333333333,2,2
